Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
1163.7301265551957	1065.2832748043334	1.6
1154.2160271333535	1074.0620624398423	1.64
1162.709076332048	1083.3054361473453	1.68
1164.9956953560272	1090.3296719961595	1.72
1164.8419366386593	1094.0055051095985	1.76
1164.5216383151298	1097.8586687875859	1.8
1162.9051643105504	1094.4875289423887	1.84
1161.0907238091263	1089.1165204479416	1.88
1156.7529309636554	1086.055465697939	1.92
1156.4488542399472	1086.1559470195937	1.96
1158.7789917765108	1086.2854997133663	2.0
1144.3858901263056	1079.3384538742735	2.04
1123.528575730594	1070.223957610034	2.08
1099.4776366899096	1051.2168957662468	2.12
1076.2408288581657	1036.813002703424	2.16
1059.1764220146777	1032.2239720120438	2.2
1045.0357830848566	1052.8622035677429	2.24
1052.3958758925348	1076.8841359120236	2.28
1052.5197874769372	1086.7412960482613	2.32
1058.47533792777	1084.9244799056032	2.36
1050.3919579061123	1057.7189950690615	2.4
1048.0916995234445	1050.9274705818937	2.44
1039.704692594375	1058.8486807171207	2.48
1041.3535186889587	1058.7986445728075	2.52
1041.6950969756024	1044.008187842894	2.56
1043.6540369167533	1056.8977436340044	2.6
1042.9927988150882	1067.8420130466075	2.64
