Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
0.0	0.0	1.88
0.0	0.0	1.92
0.0	0.0	1.96
0.0	0.0	2.0
0.0	0.0	2.04
0.0	0.0	2.08
0.0	0.0	2.12
0.0	0.0	2.16
0.0	0.0	2.2
0.0	0.0	2.24
0.0	0.0	2.28
0.0	0.0	2.32
0.0	0.0	2.36
0.0	0.0	2.4
1962.0394123090616	1783.8993663442668	2.44
0.0	0.0	2.48
0.0	0.0	2.52
0.0	0.0	2.56
0.0	0.0	2.6
0.0	0.0	2.64
0.0	0.0	2.68
0.0	0.0	2.72
0.0	0.0	2.76
0.0	0.0	2.8
433.9257317156128	426.3382618084342	2.84
470.9228698514672	455.3778325652141	2.88
517.2649277826721	492.9338297883269	2.92
583.9483880776415	585.295518867347	2.96
685.7187809497769	679.4153998666038	3.0
806.6009235354226	780.251442654119	3.04
904.5624756812488	847.0643731236727	3.08
956.33168645282	891.9801723166962	3.12
992.2514719052652	933.1432713338904	3.16
1003.1106092717614	948.5291195633793	3.2
